Food Name,Calories
Cheerios; regular General MillsTM (250mL),95
Cheese crackers; small (15),75
Corn Flakes; Kellogg’sTM (250mL),103
Macaroni; cooked (250mL),209
Melba toast; plain (2),39
Milk crackers (2),109
Muesli; President’s ChoiceTM (75mL),144
Oatmeal; instant; regular (1 packet),112
Rice Krispies; Kellogg’sTM (250mL),110
Rice; brown; long-grain; cooked (125mL),115
Rice; white; long-grain; cooked (125mL),109
Roll; dinner; white (1),85
Roll; dinner; whole wheat (1),75
Rusk toast (1),41
Saltine (oyster; soda; soup) (4),51
Saltine (oyster; soda; soup); unsalted top (4),52
Soba noodles; cooked (250mL),119
Spaghetti; cooked (250mL),209
Spaghetti; whole wheat; cooked (250mL),183
Special K; Kellogg’sTM (250mL),94
Taco shell; baked (13cm diam) (1 shell),61
Tortilla; corn (15cm diam) (1),41
Tortilla; wheat (20cm diam) (1),159
Whole wheat crackers (4),71
Almond butter (30mL),205
Almonds; dried (60mL),208
Beans; kidney; dark red; canned; not drained (175mL),161
Beans; baked; plain or vegetarian; canned (175mL),177
Beans; black; canned; not drained (175mL),162
Brazil nuts; dried (60mL),233
Cashews; roasted; salted (60mL),199
Chickpeas ( garbanzo beans); canned; not drained (175mL),211
Lentils; boiled; salted (175mL),170
Mixed nuts; roasted; salted (60mL),206
Peanut butter; smooth type; fat; sugar and salt added (30mL),191
Peanut butter; smooth type; light (30mL),190
Peanuts; all types; shelled; roasted (60mL),217
Pecans; dried (60mL),173
Soy patty (1),136
Sunflower seed kernels; roasted; salted (60mL),189
Tofu; regular; firm and extra firm (150g),189
Walnuts; dried (60mL),166
Back bacon; pork; grilled (2 slices),87
Bacon; pork; broiled; pan-fried or roasted (3 slices),130
Beef; Ground; extra lean; crumbled; pan-fried (75g),167
Beef; Ground; lean; crumbled; pan-fried (75g),194
Beef; Ground; medium; crumbled; pan-fried (75g),214
Beef; Ground; regular; crumbled; pan-fried (75g),243
Beef; Rib steak; lean + fat; broiled (75g),232
Beef; Rump roast; lean + fat; broiled (75g),164
Beef; Sirloin tip roast; lean + fat; roasted (75g),156
Beef; Stewing beef; lean; simmered (75g),183
Beef; Strip loin (New York) steak; lean + fat; broiled (75g),191
Beef; T-Bone (Porterhouse) steak; lean + fat; broiled (75g),216
Beef; Tenderloin; steak; lean + fat; broiled (75g),170
Bologna (baloney); beef and pork (2 slices),153
Chicken; broiler; breast; meat and skin; roasted (75g),142
Chicken; broiler; breast; meat; roasted (75g),119
Chicken; broiler; drumstick; meat and skin; roasted (75g),161
Chicken; broiler; drumstick; meat; roasted (75g),127
Chicken; broiler; wing; meat and skin; roasted (75g),218
Chicken; canned; flaked (60mL),89
Chicken; ground; lean; cooked (75g),153
Corned beef; brisket; cooked (2 slices),101
Cottage roll; pork; lean and fat; roasted (2 slices),69
Deli meat; beef; thin sliced (4 slices),83
Deli meat; chicken breast roll (2 slices),75
Deli meat; ham; regular (11% fat) (2 slices),91
Deli meat; mock chicken; loaved (2 slices),147
Deli meat; turkey breast (2 slices),63
Ham; extra lean; canned (2 slices),62
Ham; lean; canned (2 slices),81
Ham; lean; roasted (75g),118
Kidney; beef; simmered (75g),119
Kielbasa (Kolbassa); pork and beef (1 piece),124
Lamb; American; fresh; ground; cooked (75g),212
Lamb; American; fresh; loin; lean + fat; cooked (75g),232
Lamb; New Zealand; frozen; loin; lean + fat; broiled (75g),222
Lamb; New Zealand; frozen; rib; lean + fat; roasted (75g),238
Liver; beef; pan-fried (75g),131
Pastrami; beef (2 slices),74
Pate; liver; canned (30mL),84
Pepperoni; pork; beef (10 slices),252
Pork; Centre cut; loin; chop; lean + fat; broiled (75g),180
Pork; Centre cut; loin; chop; lean + fat; pan-fried (75g),208
Pork; Ground; medium; pan-fried (75g),224
Pork; Loin; rib end; lean + fat; broiled (75g),197
Pork; Shoulder; whole; lean + fat; roasted (75g),219
Pork; Spareribs; lean + fat; braised (75g),251
Pork; Tenderloin; lean; roasted (75g),108
Salami; beef and pork (2 slices),118
Sausage; breakfast; pork and beef; cooked (1),51
Wiener (frankfurter); beef (1),104
Bacon bits; simulated meat (15mL),34
Gravy; beef; canned (60mL),31
Gravy; chicken; canned (60mL),48
Ketchup (15mL),15
Mustard (15mL),11
Olives; pickled; canned or bottled (4),23
Olives; ripe; canned; jumbo (2),13
Onion dip (30mL),50
Pickle relish; sweet (15mL),20
Pickles; cucumber; sweet; slices (4),33
Salsa (15mL),5
Sauce; soy (15mL),7
Sauce; steak (HPTM; A1TM) (15mL),9
Sauce; sweet and sour (15mL),20
Sauce; barbecue (15mL),12
Sauce; teriyaki (15mL),15
Spinach dip (30mL),74
Burrito with beans and cheese (1),189
Caesar Salad (250mL),179
Caesar salad with chicken (500mL),491
Chicken pot pie; commercial; individual (1 serving),494
Club sandwich (1),558
Garden Salad (250mL),47
Greek Salad (250mL),139
Macaroni and cheese (Kraft DinnerTM) (250mL),395
Poutine (250mL),380
Stir fry with beef (250mL),290
Sushi with fish (4),164
Sushi with vegetables; no fish (4),122
Taco with beef; cheese; salsa + vegetables (1),168
Beef jerky (22cm long) (1 stick),81
Corn-based puffs or twists; cheese (CheesiesTM) (250mL),205
Popcorn; Air-popped (250mL),32
Popcorn; Microwave; low fat and reduced salt (250mL),34
Potato chips; plain (1 small bag),230
Pretzels; hard; plain; salted (10 sticks),19
Rice cakes; plain (1),35
Tortilla chips; nacho flavoured (DoritosTM) (1 small bag),249
Trail mix; regular (60mL),176
Soup; Chicken noodle (250mL),79
Soup; Cream of mushroom (250mL),137
Soup; Tomato (250mL),90
Soup; Tomato; reduced salt (250mL),90
Soup; Vegetables with beef (250mL),83
Soup; Vegetarian vegetable (250mL),76
Brown sugar (5mL),18
Frozen yogourt; chocolate (125mL),116
Honey (5mL),22
Ice cream cone; vanilla; soft serve (1),266
Ice cream; vanilla; low fat (125mL),117
Jams and preserves (15mL),56
Maple syrup (15mL),55
Milk chocolate; bars or chips (1 bar),268
Popsicles (1),54
Sherbet; orange (125mL),113
Spread; chocolate hazelnut ( NutellaTM) (30mL),203
Sugar substitute; aspartame ( EqualTM) (1 packet),4
White sugar (granulated) (5mL),16
Asparagus; fresh or frozen; boiled; drained (6 spears),18
Bean sprouts; stir-fried (125mL),33
Beans; snap (green; yellow; Italian); canned; drained (125mL),14
Beans; snap (green; yellow; Italian); fresh or frozen; (125mL),22
Bok Choy; Pak-Choi; shredded; boiled; drained (125mL),11
Broccoli; chopped; boiled; drained (125mL),29
Brussels sprouts; fresh or frozen; boiled; drained (4 sprouts),33
Cabbage; green; shredded; raw (125mL),9
Carrot juice (125mL),50
Carrots; raw (1 medium),25
Cauliflower; pieces; raw (125mL),13
Celery; raw (1 stalk),6
Corn; sweet; canned; niblets (125mL),88
Cucumber; peeled; raw (4 slices),3
Edamame (125mL),100
Leeks; chopped; boiled; drained (125mL),17
Lettuce; iceberg; shredded (250mL),8
Lettuce; romaine; shredded (250mL),10
Mushrooms; pieces; canned; drained (125mL),21
Mushrooms; raw (3 medium),12
Onions; green (scallion); raw (1 medium),5
Onions; yellow; chopped; raw (60mL),17
Parsnip; sliced; boiled; drained (125mL),59
Peas; snowpeas; boiled; drained (125mL),36
Peas; green; canned; drained (125mL),62
Pepper; sweet; green; raw (1/2),16
Pepper; sweet; red; raw (1/2),15
Potato; baked; flesh and skin (1),161
Potato; boiled without skin (1),116
Potatoes; French fried; frozen; home-prepared in oven (20 strips),96
Rutabaga (yellow turnip); diced; boiled; drained (125mL),35
Sauerkraut; canned; not drained (125mL),14
Spinach; chopped; raw (250mL),7
Squash; acorn; cubed; baked (125mL),61
Sweet potato; boiled without skin (1/2),57
Swiss chard; chopped; boiled; drained (125mL),18
Tomato juice (125mL),22
Tomato sauce; canned (125mL),41
Tomatoes; canned; stewed (125mL),35
Tomatoes; raw (1),22
Vegetable juice cocktail (125mL),24
Zucchini; raw; slices (4),6
